USER,COURSE_ID,SCORE
4,ML0122EN,36.0
4,RP0105EN,98.0
4,DX0106EN,26.0
4,GPXX06RFEN,40.0
4,CC0271EN,44.0
4,WA0103EN,32.0
4,DX0108EN,22.0
4,DAI101EN,14.0
4,BD0145EN,64.0
4,HCC105EN,14.0
4,DE0205EN,46.0
4,DS0132EN,14.0
4,DS0201EN,24.0
4,BENTEST4,14.0
4,CC0210EN,10.0
4,PA0103EN,34.0
4,HCC104EN,10.0
4,TMP0105EN,92.0
4,PA0107EN,34.0
4,DB0113EN,40.0
4,PA0109EN,28.0
4,RP0103,46.0
4,RP0103EN,46.0
4,BD0212EN,92.0
4,GPXX0IBEN,62.0
4,SECM03EN,10.0
4,SC0103EN,92.0
4,TA0105,14.0
4,SW0201EN,24.0
4,TMP0106,20.0
4,GPXX0BUBEN,38.0
4,ST0201EN,28.0
4,ST0301EN,28.0
4,SW0101EN,24.0
4,TMP0101EN,42.0
4,DW0101EN,14.0
4,BD0143EN,64.0
4,WA0101EN,32.0
4,GPXX04HEEN,28.0
4,BD0141EN,64.0
4,CO0401EN,10.0
4,ML0122ENv1,34.0
4,BD0151EN,34.0
4,TA0106EN,58.0
4,TMP107,22.0
4,ML0111EN,14.0
4,GPXX048OEN,14.0
4,GPXX01DCEN,34.0
4,GPXX04XJEN,14.0
4,GPXX0JZ4EN,28.0
4,GPXX0ZYVEN,28.0
4,GPXX0ZMZEN,34.0
4,GPXX0742EN,14.0
4,GPXX01RYEN,40.0
4,GPXX0YMEEN,16.0
4,GPXX0Q8AEN,30.0
4,TA0105EN,14.0
4,GPXX0XFQEN,40.0
4,GPXX07REN,40.0
4,PA0101EN,34.0
4,GPXX0725EN,40.0
4,GPXX0MIIEN,40.0
4,BD0223EN,52.0
4,GPXX0435EN,28.0
4,GPXX06ZLEN,40.0
4,AI0111EN,14.0
4,GPXX0LLEEN,44.0
4,BD0121EN,64.0
4,BD0135EN,46.0
4,BD0133EN,30.0
4,BD0131EN,64.0
4,BD0115EN,64.0
4,GPXX04V3EN,12.0
4,GPXX0D14EN,22.0
4,BD0211EN,92.0
4,ST0101EN,28.0
4,BD0153EN,28.0
4,DP0101EN,28.0
4,BD0137EN,46.0
4,ML0120EN,14.0
4,CB0201EN,14.0
4,GPXX0NHZEN,40.0
4,CO0301EN,10.0
4,GPXX0XENEN,14.0
4,DA0201EN,28.0
4,DJ0101EN,68.0
4,CP0101EN,28.0
4,DB0111EN,40.0
4,DB0115EN,40.0
4,DA0151EN,34.0
4,DB0151EN,64.0
4,DS0107,20.0
4,DS0110EN,20.0
4,DX0107EN,20.0
4,DS0105EN,20.0
4,GPXX0KHHEN,34.0
4,ML0115EN,14.0
4,IT0101EN,14.0
4,BD0101EN,64.0
4,GPXX04P5EN,34.0
4,ML0122ENv3,14.0
4,GPXX0PG8EN,48.0
4,ML0101EN,36.0
4,ML0109EN,14.0
4,ML0101ENv3,16.0
4,DA0101EN,30.0
4,GPXX0WTIEN,14.0
4,GPXX0M6UEN,64.0
4,GPXX097UEN,64.0
4,GPXX0HC7EN,14.0
4,GPXX04MXEN,28.0
4,DS0101EN,20.0
4,DS0301EN,40.0
4,BD0111EN,64.0
4,GPXX0UN5EN,14.0
4,BD0221EN,38.0
4,GPXX0TY1EN,72.0
4,GPXX0T3CEN,44.0
4,PY0101EN,22.0
4,BD0123EN,46.0
4,DB0101EN,40.0
4,GPXX05RDEN,28.0
4,DV0151EN,34.0
4,DV0101EN,30.0
4,ML0103EN,28.0
4,ML0151EN,20.0
4,ML0120ENv2,14.0
4,RP0101EN,26.0
4,GPXX0G31EN,46.0
4,GPXX0KY1EN,48.0
4,CC0150EN,10.0
4,GPXX0RQLEN,40.0
4,ML0120ENv3,14.0
4,SC0105EN,20.0
4,excourse01,40.0
4,excourse02,68.0
4,excourse03,64.0
4,excourse04,60.0
4,excourse05,64.0
4,excourse06,60.0
4,excourse07,40.0
4,excourse09,28.0
4,excourse10,64.0
4,excourse11,40.0
4,excourse12,42.0
4,excourse13,40.0
4,excourse14,40.0
4,excourse20,30.0
4,excourse21,36.0
4,excourse22,36.0
4,excourse23,30.0
4,excourse31,68.0
4,excourse32,28.0
4,excourse33,28.0
4,excourse34,28.0
4,excourse35,42.0
4,excourse36,30.0
4,excourse37,34.0
4,excourse38,30.0
4,excourse39,28.0
4,excourse40,42.0
4,excourse41,28.0
4,excourse42,64.0
4,excourse43,10.0
4,excourse44,10.0
4,excourse46,14.0
4,excourse47,14.0
4,excourse49,16.0
4,excourse50,14.0
4,excourse51,14.0
4,excourse52,14.0
4,excourse53,14.0
4,excourse54,42.0
4,excourse55,14.0
4,excourse56,14.0
4,excourse57,14.0
4,excourse58,14.0
4,excourse59,14.0
4,excourse60,14.0
4,excourse61,14.0
4,excourse62,22.0
4,excourse63,20.0
4,excourse64,20.0
4,excourse65,48.0
4,excourse66,20.0
4,excourse67,24.0
4,excourse68,24.0
4,excourse69,38.0
4,excourse70,64.0
4,excourse71,64.0
4,excourse72,92.0
4,excourse73,92.0
4,excourse74,24.0
4,excourse75,30.0
4,excourse76,24.0
4,excourse77,14.0
4,excourse78,14.0
4,excourse79,14.0
4,excourse82,34.0
4,excourse83,34.0
4,excourse84,34.0
4,excourse85,34.0
116,ML0122EN,34.0
116,RP0105EN,16.0
116,DX0106EN,18.0
116,DAI101EN,12.0
116,HCC105EN,12.0
116,DS0132EN,12.0
116,DS0201EN,14.0
116,BENTEST4,12.0
116,PA0103EN,26.0
116,TMP0105EN,12.0
116,PA0107EN,26.0
116,BD0212EN,12.0
116,GPXX0IBEN,30.0
116,SC0103EN,12.0
116,TA0105,12.0
116,SW0201EN,12.0
116,TMP0106,14.0
116,GPXX0BUBEN,16.0
116,SW0101EN,12.0
116,TMP0101EN,16.0
116,DW0101EN,12.0
116,ML0122ENv1,26.0
116,BD0151EN,26.0
116,TA0106EN,30.0
116,TMP107,22.0
116,ML0111EN,12.0
116,GPXX048OEN,12.0
116,GPXX01DCEN,26.0
116,GPXX04XJEN,12.0
116,GPXX0ZMZEN,26.0
116,GPXX0742EN,12.0
116,GPXX0YMEEN,20.0
116,GPXX0Q8AEN,12.0
116,TA0105EN,12.0
116,PA0101EN,26.0
116,AI0111EN,12.0
116,GPXX0D14EN,20.0
116,BD0211EN,12.0
116,ML0120EN,12.0
116,CB0201EN,12.0
116,GPXX0XENEN,12.0
116,DS0107,14.0
116,DS0110EN,14.0
116,DX0107EN,14.0
116,DS0105EN,14.0
116,DS0103EN,14.0
116,GPXX0KHHEN,26.0
116,ML0115EN,12.0
116,IT0101EN,12.0
116,GPXX04P5EN,26.0
116,ML0122ENv3,12.0
116,GPXX0PG8EN,18.0
116,ML0101EN,34.0
116,ML0109EN,12.0
116,ML0101ENv3,20.0
116,DA0101EN,12.0
116,GPXX0WTIEN,12.0
116,GPXX0HC7EN,12.0
116,DS0101EN,14.0
116,GPXX0UN5EN,12.0
116,BD0221EN,16.0
116,PY0101EN,22.0
116,DV0101EN,12.0
116,ML0151EN,16.0
116,ML0120ENv2,12.0
116,RP0101EN,18.0
116,GPXX0KY1EN,18.0
116,ML0120ENv3,12.0
116,SC0105EN,14.0
116,excourse04,18.0
116,excourse06,18.0
116,excourse12,12.0
116,excourse20,12.0
116,excourse21,34.0
116,excourse22,34.0
116,excourse23,12.0
116,excourse35,16.0
116,excourse36,12.0
116,excourse38,12.0
116,excourse40,16.0
116,excourse46,12.0
116,excourse47,12.0
116,excourse49,20.0
116,excourse50,12.0
116,excourse51,12.0
116,excourse52,12.0
116,excourse53,12.0
116,excourse54,16.0
116,excourse55,12.0
116,excourse56,12.0
116,excourse57,12.0
116,excourse58,12.0
116,excourse59,12.0
116,excourse60,12.0
116,excourse61,12.0
116,excourse62,22.0
116,excourse63,14.0
116,excourse64,14.0
116,excourse65,18.0
116,excourse66,14.0
116,excourse69,16.0
116,excourse72,12.0
116,excourse73,12.0
116,excourse77,12.0
116,excourse78,12.0
116,excourse79,12.0
7789,ML0122EN,21.0
7789,DX0108EN,12.0
7789,PA0103EN,12.0
7789,PA0107EN,12.0
7789,GPXX0IBEN,15.0
7789,TMP0101EN,12.0
7789,ML0122ENv1,12.0
7789,BD0151EN,12.0
7789,TA0106EN,12.0
7789,TMP107,12.0
7789,GPXX01DCEN,12.0
7789,GPXX0ZMZEN,12.0
7789,GPXX0YMEEN,18.0
7789,GPXX0Q8AEN,12.0
7789,PA0101EN,12.0
7789,GPXX0D14EN,18.0
7789,GPXX0KHHEN,12.0
7789,GPXX04P5EN,12.0
7789,ML0101EN,21.0
7789,DA0101EN,12.0
7789,PY0101EN,12.0
7789,DV0101EN,12.0
7789,excourse20,12.0
7789,excourse21,21.0
7789,excourse22,21.0
7789,excourse23,12.0
7789,excourse35,12.0
7789,excourse36,12.0
7789,excourse38,12.0
7789,excourse40,12.0
7789,excourse49,18.0
7789,excourse54,12.0
7789,excourse62,12.0
8059,ML0122EN,24.0
8059,DX0108EN,15.0
8059,PA0103EN,15.0
8059,PA0107EN,15.0
8059,GPXX0IBEN,18.0
8059,TMP0101EN,12.0
8059,ML0122ENv1,15.0
8059,BD0151EN,15.0
8059,TA0106EN,15.0
8059,TMP107,15.0
8059,GPXX01DCEN,15.0
8059,GPXX0ZMZEN,15.0
8059,GPXX0YMEEN,18.0
8059,GPXX0Q8AEN,12.0
